公司,職缺,工作內容,福利制度,薪水
羅傑斯人工智能股份有限公司,行銷企劃專員,"工作內容：
1.	從公司使命、產品與通路發想，為公司建立合適的品牌形象。
----您將有機會從頭開始打造一家公司的品牌
2.	台灣、中國大陸、新興國家的媒體經營。
----善用符合公司目標受眾的媒體，規劃公司需要溝通的資訊。
----您將有機會與多國目標受眾接觸，並熟悉不同地區的媒體生態。
3.	規劃與籌備展會，並於事前確認公司對外溝通目標與目標受眾。
----將有與公司多部門合作的機會，深度了解行業生態。
4.	規劃與執行公關活動。
5.	配合公司發展，經營專業性社群。（包含線上社群及社群媒體）
6.具文案撰寫能力


加分條件：
1.	熟悉AI產業生態鏈，或者安防\線上支付產業。
2.	英文能力：良好的寫作能力、可商務溝通的口說能力。
3.	有2B端（企業對企業）的行銷經驗。
","1、 驚喜人生大事祝福禮
公司將每個員工視為家庭的一份子, 每位員工的人生大事, 如結婚, 生子 皆提供神秘大禮表達祝福。 
2、鼓勵生育  0~6歲公司幫忙養
入職後懷孕生子, 公司補助保母費用, 減輕員工負擔
3、競爭力薪酬獎金制度 
提供一流的薪資水準、員工分紅、股票選擇權，及各式獎金。 
4、員工保險 
除勞健保外，提供額外員工醫療團體保險。 
5、特休假制度 
優於勞基法休假天數，員工到職立即依當年度在職比例享有特休假。 女性同仁每月一天全薪生理假。 
6、多元福利活動與津貼 
不定期舉辦多元化的聚餐與團隊凝聚活動及提供用不完的飲料、茶點，給夥伴們隨時滿滿的精力。 
7、優質工作環境 
總部位於台北市中心、交通暢行無阻。 
8、 國際化職場環境 
能與國內、外AI大數據研發、行銷與管理優秀人才共事，快速提升國際視野及競爭力。



","月薪35,000~100,000元"
羅傑斯人工智能股份有限公司,人工智能算法實習生 (AI CV Algorithm Engineer Intern),"

協助前瞻深度學習和機器學習圖像識別算法的開發
包含但不限於數據採集, 標註, 前處理,後處理及算法開發

任職條件: 
1. 對人工智慧有強烈熱誠與興趣。 
2. 計算機，電子工程，自動化方向相關學歷，有機器學習或深度學習研究背景。 
3. 有 C++和Python編程能力。 
4. 有CV圖像識別, 人臉識別, 物件識別, 機器識別領域的研究經驗
5. 熱情, 不怕接觸人群
6. 不怕困難，有毅力思考及解決問題能力。

","1、 驚喜人生大事祝福禮
公司將每個員工視為家庭的一份子, 每位員工的人生大事, 如結婚, 生子 皆提供神秘大禮表達祝福。 
2、鼓勵生育  0~6歲公司幫忙養
入職後懷孕生子, 公司補助保母費用, 減輕員工負擔
3、競爭力薪酬獎金制度 
提供一流的薪資水準、員工分紅、股票選擇權，及各式獎金。 
4、員工保險 
除勞健保外，提供額外員工醫療團體保險。 
5、特休假制度 
優於勞基法休假天數，員工到職立即依當年度在職比例享有特休假。 女性同仁每月一天全薪生理假。 
6、多元福利活動與津貼 
不定期舉辦多元化的聚餐與團隊凝聚活動及提供用不完的飲料、茶點，給夥伴們隨時滿滿的精力。 
7、優質工作環境 
總部位於台北市中心、交通暢行無阻。 
8、 國際化職場環境 
能與國內、外AI大數據研發、行銷與管理優秀人才共事，快速提升國際視野及競爭力。



","月薪26,000~60,000元"
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,後端開發工程師_台達研究院(台北/南科),"「台達研究院」成立於2013年，除致力於大數據分析及物聯網應用與解決方案的開發與整合，加速企業轉型成功，也積極與產官學研生態體系協作，以開放創新模式，創造多贏生態圈。

本職缺主要工作內容:
1.	以業界使用的後端程式開發語言如Java, Go, …等開發後端執行系統
2.	進行後端相關軟體架構討，並可以提出相關見解和做法
3.	參與團隊相關進度追蹤及討論會議
4.	參與跨團隊專案討論
你/妳將會應用後端開發的技術與以下類別的應用
	智慧製造相關應用系統例如:Machine Learning, AI Applications, MES應用系統
	以微服務建構IoT雲端數據平台, 於平台上開發加值的服務, 與各解決方案進行整合 
	即時、多方視訊的遠距服務溝通系統，以提升機台全生命週期服務的成本效益和顧客滿意度
	運用多媒體、人機互動、虛實整合、人工智慧、及學習分析等技術，打造有效學習平台環境及方法工具
	台達轉型的各類領域，以解決專案目標為前提，技術導向破題處理，並同時集成前端能力開發特制化元件
","台達電子視員工為最重要的資產，向來注重人才培訓，我們提供訓練培育課程以滿足不同國家及地區員工之各種需求，從改進個別員工技能到培育管理領導者才能的訓練培育體系如下：

1. 新人訓練
2. 專業/職能訓練：研發及工程、行銷/銷售、財務/管理、進出口/採購、資訊科技等專業訓練 
3. 管理才能訓練：基層、中階及高階管理訓練 
4. 通識教育訓練：公司價值觀、顧客滿意、品質、安全及衛生
5. 專案導向訓練：企業議題討論會/研討會
6. 自我發展訓練：語言課程、數位學習

為提供同仁們整合性更高的教育訓練系統，台達在台灣區人資網站上新成立了學習與發展社群，以學習者為中心，提供學員所需的訓練資訊包含課程公告、外訓課程介紹、線上教材，並整合常見問題以解決疑問。另我們亦設有「學習評核區」，得以隨時於線上評量學習成果並由系統記錄之。

◎ 多元學習環境
       -e-Learning學習平台
       -面面俱到的訓練藍圖
       -全額補助外部技術研討及技能訓練
       -鼓勵學習的組織及環境

◎ 與國際接軌之員工個人發展
       -放眼全球的工作歷練及發展
       -全球各地研發中心之交流與學習
       -參與國際知名專家主持之專案
       -管理與技術職之雙軌晉升

◎ 績效導向之薪酬
       -以能力為依歸的績效管理
       -公司營運獲利分享的奬金紅利

◎ 福利及生活照顧
       -全額補助的團體保險
       -自助式且多樣選擇的廠內用餐補助
       -感性與知性兼具的社團活動
       -國內外自由行旅遊活動
       -美輪美奐的知名連鎖咖啡廳、便利商店
       -為地球盡一份心力的環保公益活動","月薪32,000元以上"
羅傑斯人工智能股份有限公司,人資招募專員 HR(Human Resource  Recruitment),"
1.維護企業內部人力資源之相關紀錄（如：員工個人基本資料、工作說明書、職務輪調紀錄、出缺勤紀錄與績效評核紀錄等）。
2.規劃與執行人員招募、甄選與任用，以解決公司的人力需求問題。
3.理解軟體開發人才需求，並協助公司進行軟體開發人才招募(履歷篩選、信件邀約、電話訪談及面試安排)。
4.利用104、LinkedIn及其他網路社群平台進行招募
5.人才資料庫建置及管理。
6.可獨立作業，對招募工作有熱忱，喜歡與人互動。
7. 1年以上軟體業招募經驗。
8. 有人工智能產業工作經驗優先
9. 有在獵頭產業工作經驗優先
","1、 驚喜人生大事祝福禮
公司將每個員工視為家庭的一份子, 每位員工的人生大事, 如結婚, 生子 皆提供神秘大禮表達祝福。 
2、鼓勵生育  0~6歲公司幫忙養
入職後懷孕生子, 公司補助保母費用, 減輕員工負擔
3、競爭力薪酬獎金制度 
提供一流的薪資水準、員工分紅、股票選擇權，及各式獎金。 
4、員工保險 
除勞健保外，提供額外員工醫療團體保險。 
5、特休假制度 
優於勞基法休假天數，員工到職立即依當年度在職比例享有特休假。 女性同仁每月一天全薪生理假。 
6、多元福利活動與津貼 
不定期舉辦多元化的聚餐與團隊凝聚活動及提供用不完的飲料、茶點，給夥伴們隨時滿滿的精力。 
7、優質工作環境 
總部位於台北市中心、交通暢行無阻。 
8、 國際化職場環境 
能與國內、外AI大數據研發、行銷與管理優秀人才共事，快速提升國際視野及競爭力。



","月薪30,000~100,000元"
台灣房屋仲介股份有限公司,雲端中心-資訊工程師(PHP),"工作內容
1.	官網及後台系統開發與維護
2.	Line chatbot功能應用開發
技術需求：
1.	熟悉Laravel framework，能運用JavaScript，AJAX，JSON等技術
2.	熟悉LAMP (Linux + Apache + MySQL +PHP)開發環境
3.	熟悉Restful API
4.	熟悉網站安全性(XSS、CORS、SSRF)的各種問題與解決方法
加分項目： 
1.	MySQL資料庫優化經驗
2.	具網站爬蟲經驗
3.	具REDIS、Rabbit MQ、WebSocket開發經驗
4.	Azure App Service或GCP/AWS相關經驗

雲端中心介紹：
包括核心技術研發部和數位服務技術部兩個團隊，是台灣房屋科技房仲5.0的幕後推手，2017年運用LINE Messaging API結合微軟LUIS的語意識別服務推出「AI地產機器人」，並獲得國家專利認證，2019年更進一步推出「AI即時帶看」，整合VR環景讓客戶跟業務專員線上互動看房。
我們的地點位在內湖科技園區，距離西湖捷運站100公尺，交通方便，公司大樓也提供免費機車停車位，可藉由參與部門的日常，獲取更多技術發展的趨勢，並研究雲端服務、AI人工智慧與大數據等相關應用研發。","福利制度完善，同仁在健全福利制度下安心、放心地工作，創造美好未來。
獎金/補助類
•	結婚、生育、慶生、制服、國內外旅遊、團體活動等補助
•	為關懷同仁及其眷屬公司有公傷、急難救助、住院慰問金、喪葬等補助辦法
服務類
•	同仁諮商協助服務
•	同仁及其家屬法律諮商服務
•	正式人員享有資訊系統使用權
•	全齡化不動產投資管理服務
 
【薪獎福利-文字內容】
制度類
•	實施勞基法，享勞保、健保、意外險，贈送每位同仁工作高額平安保險，保障同仁安心工作服務客戶
•	完整教育訓練及生涯規劃
•	公司實施兩性平等法
請/休假類
•	男性同仁享有陪產假五天
以上皆為直營體系之薪獎福利
( 加盟店均為獨立經營之公司，相關人才招募福利辦法均依各加盟店規範辦理 )
",待遇面議
睿點行動股份有限公司,金融科技業-Android軟體開發工程師,"【職缺描述】
1. Android 軟體開發工程師負責維護與開發App，目標是開發出容易維護、簡潔、良好架構且使用體驗更流暢穩定的App。
2. 願意不斷嘗試新技術並樂於分享討論，需能夠頻繁的跟PM、UI/UX設計師與後端工程師密切合作，並適應敏捷開發模式。
3. 內部環境自由，可自由參與其他相關大數據, PHP, 資料庫等專案不斷增加能力。

【職務需求】
[條件要求]
1. 精通 Java/Kotlin 及 Android 應用程式開發流程
2. MVVM 架構、Android Clean Architecture 使用經驗
2. 一年以上 Android App 開發經驗
3. 熟悉 RESTful API 串接經驗
4. 具備團隊合作能力，能夠主動與PM、設計師等討論並給予專業建議，共同追求合適的解決方案
5. 撰寫單元測試能力
6. 熟 Git 版本控制

[加分項目]
1. 具有敏捷開發的經驗佳
2. 附帶作品者佳
3. 熟悉 Reactive Programming、Dependency Injection(Dagger) 觀念","・假期：照勞基法
・保險：勞保、健保、勞退、額外團保（團保公司全額給付， 加強保障上下班時間意外風險）
・每人配備一台Macbook！ 
・日系大冰箱冰涼飲料隨時享用 
・有點餓零食吧，想補充熱量不用自掏零錢 
・三節禮金、績效獎金，你的努力都會變成現金 
・不定期小確幸下午茶，外送知名甜點不用排隊 
・每年提供健康檢查，你的健康公司幫你注意 ","年薪600,000~1,000,000元"
德昂資訊股份有限公司,BI顧問--台北/高雄,"崗位職責：
1.	售前支持
a)	支持市場活動
b)	製作Demo
c)	參與POC
d)	撰寫技術方案
2.	需求規劃
a)	分析客戶需求
b)	資料搜集和整理
c)	整理資料字典和設計模型
d)	設計原型和撰寫方案
3.	設計開發
a)	ETL和SQL語句熟悉（可以培養）
b)	建立資料集市
c)	開發BI視覺化
d)	測試資料
e)	部署；
4.	上線運維
a)	培訓客戶
b)	驗收
c)	運維

任職要求：
1.	大學大專，本科或碩士在校生，有二年以上工作經驗。
2.	企業管理，市場行銷，財務分析，資料庫、計算器相關背景優先；
3.	能快速理解資料和複雜邏輯；
4.	熟悉資料庫（包含Oracle和SQL Server）知識熟悉者優先；
5.	如果您熟悉Tableau, Python爬蟲, PowerBI我們優先考慮；
6.	會撰寫程式是加分項
","◆ 分紅 / 配股
　1.員工認股
◆ 獎金 / 禮品類
　1.年終獎金
　2.三節禮金/禮品
◆ 保險類
　1.意外險
◆ 休閒類
　1.國內旅遊
　2.慶生會
◆ 制度類
　1.誤餐費
　2.完整的教育訓練
　3.順暢的升遷管道
◆ 請 / 休假制度
　1.週休二日
　2.特休/年假
　3.旅遊假
　4.訂婚假
　5.家庭照顧假
◆ 補助類
　1.結婚禮金
　2.生育津貼","月薪40,000~80,000元"
羅傑斯人工智能股份有限公司,UI/UX Designer,"
1. 網頁、手機(android, IOS) UI/UX 設計 
2. 網頁切版CSS套用與DIV運用 
3. 與產品團隊和工程開發團隊溝通討論設計方向

請附上歷年設計作品

","1、 驚喜人生大事祝福禮
公司將每個員工視為家庭的一份子, 每位員工的人生大事, 如結婚, 生子 皆提供神秘大禮表達祝福。 
2、鼓勵生育  0~6歲公司幫忙養
入職後懷孕生子, 公司補助保母費用, 減輕員工負擔
3、競爭力薪酬獎金制度 
提供一流的薪資水準、員工分紅、股票選擇權，及各式獎金。 
4、員工保險 
除勞健保外，提供額外員工醫療團體保險。 
5、特休假制度 
優於勞基法休假天數，員工到職立即依當年度在職比例享有特休假。 女性同仁每月一天全薪生理假。 
6、多元福利活動與津貼 
不定期舉辦多元化的聚餐與團隊凝聚活動及提供用不完的飲料、茶點，給夥伴們隨時滿滿的精力。 
7、優質工作環境 
總部位於台北市中心、交通暢行無阻。 
8、 國際化職場環境 
能與國內、外AI大數據研發、行銷與管理優秀人才共事，快速提升國際視野及競爭力。



","月薪40,000~100,000元"
羅傑斯人工智能股份有限公司,後端工程師 (Backend Engineer),"工作內容
 - 開發雲端資料管理平台之前端介面與後端服務
 - 平台與 AI 運算裝置系統對接
 - 開發易於使用及維護的 API
 - 設計彈性易於擴充的系統架構

基本需求：
 - 熟悉 Git 版本控制與協作
- 熟悉 Python 或 Java 開發、有 Web API 實作經驗
- 熟悉 SQL/NoSQL 資料庫操作
- 基本 HTML/JS 前端概念

加分：
 - 雲端平台使用經驗 (e.g. AWS, Azure)
- docker 使用經驗
- 深度學習模型部署經驗

","1、 驚喜人生大事祝福禮
公司將每個員工視為家庭的一份子, 每位員工的人生大事, 如結婚, 生子 皆提供神秘大禮表達祝福。 
2、鼓勵生育  0~6歲公司幫忙養
入職後懷孕生子, 公司補助保母費用, 減輕員工負擔
3、競爭力薪酬獎金制度 
提供一流的薪資水準、員工分紅、股票選擇權，及各式獎金。 
4、員工保險 
除勞健保外，提供額外員工醫療團體保險。 
5、特休假制度 
優於勞基法休假天數，員工到職立即依當年度在職比例享有特休假。 女性同仁每月一天全薪生理假。 
6、多元福利活動與津貼 
不定期舉辦多元化的聚餐與團隊凝聚活動及提供用不完的飲料、茶點，給夥伴們隨時滿滿的精力。 
7、優質工作環境 
總部位於台北市中心、交通暢行無阻。 
8、 國際化職場環境 
能與國內、外AI大數據研發、行銷與管理優秀人才共事，快速提升國際視野及競爭力。



","月薪50,000~100,000元"
奕兆有限公司,UXR Intern 實習生,"UXR 實習生

* 協助目標族群分析及潛在市場分析
* 協助執行質性及量化研究及分析、進行使用者體驗/使用者研究
* 協助將研究結果轉換為設計規格，輔助軟硬體產品設計及服務設計研究資料彙整與記錄。
* 充滿好奇心與熱情，樂於接觸新事物
* 基本英文溝通能力

Plus
* 會使用類似GA分析工具
* 對AI大數據有興趣
* 熱愛生活、幽默感，除了研究以外也有不同的興趣與嗜好

-----------------------------------------------------------------------------
# 培訓目標：
* 學習到Scrum敏捷開發的流程
* 參與超過上萬人使用的產品專案
* 參加每月一次的Workshop，課程內容開放大家提議與分享
* 社團活動與不定期 Teambuilding 活動
* 實習期間表現優異，我們將誠摯地歡迎您成為我們的正職夥伴","◆ 獎金/禮品類
年終績效獎金
三節禮金
婚喪補助金
◆ 休閒類
員工每月聚餐
年度員工旅遊
年度健康檢查
◆ 制度類
1.提供公司付費之外部教育訓練課程
2.完整的績效評核制度及升遷管道
◆ 請 / 休假制度
1.特休/年假 
第一年就享有14天年假, 優於勞基法
2.週休二日
3.每年三天全薪病假
4.產假/陪產假
5.女性同仁育嬰假
◆ 補助類
1.退職金提撥
◆ 保險類
1.勞健保及勞退金
2.員工團險保障
3.職災保險
",待遇面議
英屬維京群島商宏曜美拓國際傳媒股份有限公司台灣分公司,PHP 後端⼯程師,"「宏曜美拓傳媒」 是與日本新創上巿公司 Metaps 合資設立的公司。 其致力於互聯網廣泛使用新技術誕生的精神外，我們還擁有著豐富的數位媒體廣告及社群經營經驗，「宏曜美拓傳媒」持續努力開發大數據及人工智能的技術養成，掌握數位時代使用者脈絡與行為 。 
我們正在尋找對＂網頁程式設計＂有熱情的你! 

如果你對數位媒體及網頁設計產業有興趣，若有部份符合相關條件, 誠摯歡迎投遞履歷！ 

職務工作內容如下： 
1. 網站平台功能架構開發與維護
2. 前後端及相關API開發與串接
3. 喜愛解決問題挑戰難題 
4. 積極主動、樂觀、溝通、樂於助人及習慣團隊合作。 

歡迎有熱情的你,加入「宏曜美拓傳媒」!! 
可先參考公司網址: https://www.luminous.com.tw/","◆ 獎金/禮品類 
1.年終獎金 
2.三節獎金 
3.業務業績獎金 

◆ 保險類 
1.勞保 
2.健保 
3.員工團保 

◆ 休閒類 
1.公司聚餐 
2.慶生會 

◆ 請 / 休假制度 
1.週休二日 
2.特休/年假 
3.陪產假 ","月薪50,000~65,000元"
健康力科技股份有限公司,系統分析工程師(台北)  (同步歡迎二度就業、中壯齡及中高齡者加入),"掌握300家診所基層醫療院所通路，與臺北醫學大學大數據中心產學合作，更具公信力。
AI-HIS系統幫助基層診所升級、優化管理績效。
透過AI人工智慧分析，協助精準診療與判斷，預測健康照設需求.
開發全台第一個串聯診所與居家照護多功能的APP。
如果你/妳自認具備【熱忱】、【追求極致】、【樂於團隊合作】的特質，
我們歡迎你/妳一起加入健康力科技的開發團隊，
在這大家庭裡，你將會在專業開發顧問的協助下，與團隊一起打造極致又造福人群的未來明星產品。

本職務主軸於系統需求分析，
1. 負責對客戶進行系統需求訪談、歸納分析及驗證、並轉化系統需求規格書。
2. 協助專案過程溝通協調工作。
3. 精通運用Git版本控制指令與概念。
4. 熟悉程式語言(C#、C++、Java)、資料庫系統(SQL Server、MySQL、Oracle，至少具備其中一種)、網頁技術(JavaScript、jQuery、HTML5、CSS3)，有實務開發經驗者尤佳。
5. 對程式開發有熱枕、具願意學習新技術。且獨立思考解決問題能力。
6. 備有責任感、抗壓性、主動積極、良好溝通能力及團隊合作精神。
7. 具醫療資訊系統設計經驗者佳","● 獎金福利：年終獎金、端午/中秋禮金(品)、生日禮金、結婚禮金、生育禮金、喪葬慰問金、住院慰問金、額外差勤獎勵金(符合差勤管理辦法給予額外獎勵)
● 保險福利：勞保、健保、勞退提撥金、團保(定期壽險/意外傷害險/(住院&癌症)醫療險/職業災害險)，提供同仁完善工作保障。
● 娛樂福利：部門聚餐、員工活動、春酒餐會及抽獎。
● 培訓福利：在職進修(內&外部)制度。
● 休假福利：週休二日、任職滿三個月後即預給特休假(依到職比例給予)、陪產假、天災假(優於法令，未出勤不扣發工資)。
● 其他福利：員工購物優惠、不定期補給零食飲料、舒適辦公環境及完善茶水間，提供給同仁工作舒適。

※上述部份福利享有資格需依照到職年資認定/試用期滿通過給予。","月薪60,000~80,000元"
羅傑斯人工智能股份有限公司,財務長,"

以下必要條件必須符合其中一點, 不符者勿投
1. 曾在新創團隊擔任財務長並成功IPO
2. 曾在創投/風投單位任職超過10年,  所投資的新創團隊最後成功IPO  
3. 有籌畫跨國公司在不同資本市場IPO的成功經歷  Ex:  台灣公司到美國Nasdap IPO

工作內容

1. IPO前各階段融資資源規劃與執行

2. IPO籌備與各階端任務規劃

3. 財務風險管理與預防

4. 預算控制及綜理公司稅務之規劃及執行。

5. 銀行關係往來及維繫、資金調度、編列預算及財務的分析控管。

6. 跨國性資本市場關係建立。

","1、 驚喜人生大事祝福禮
公司將每個員工視為家庭的一份子, 每位員工的人生大事, 如結婚, 生子 皆提供神秘大禮表達祝福。 
2、鼓勵生育  0~6歲公司幫忙養
入職後懷孕生子, 公司補助保母費用, 減輕員工負擔
3、競爭力薪酬獎金制度 
提供一流的薪資水準、員工分紅、股票選擇權，及各式獎金。 
4、員工保險 
除勞健保外，提供額外員工醫療團體保險。 
5、特休假制度 
優於勞基法休假天數，員工到職立即依當年度在職比例享有特休假。 女性同仁每月一天全薪生理假。 
6、多元福利活動與津貼 
不定期舉辦多元化的聚餐與團隊凝聚活動及提供用不完的飲料、茶點，給夥伴們隨時滿滿的精力。 
7、優質工作環境 
總部位於台北市中心、交通暢行無阻。 
8、 國際化職場環境 
能與國內、外AI大數據研發、行銷與管理優秀人才共事，快速提升國際視野及競爭力。



",待遇面議
國泰世華商業銀行股份有限公司_人力資源部,【數銀】用戶體驗設計UX Designer(數數發中心，DDT),"【公司部門簡介 About us】
國泰金控為臺灣服務客戶數最多的領先金融服務業者，致力於成為亞洲最佳金融機構。旗下的國泰世華銀行，為全臺灣數位服務用戶數的領先銀行，其數位銀行部更是國泰金控數位轉型之重要推動引擎，致力於打造優質、創新的數位金融服務。部門團隊由各領域菁英所組成，成員背景多元，橫跨金融產業、管理顧問、網路科技、時尚旅遊、數位行銷及新創科技等各領域。你將有機會與頂尖人才共事，共同實現數位新世代前所未有的可能。我們廣納優秀的專業人才，也打造開放溝通的工作環境。因為我們相信，唯有在開放式的團隊文化，才激得起最熱烈的革命火花。

金融科技已在改變世界，加入國泰世華銀行，你將有機會改變臺灣金融發展史。

【主要職責 Who we are looking for】
DDT(數位暨數據發展中心)成員來自多元背景，包括：電商、IT、數位行銷、UI/UX、顧問、金融及大數據分析。未來你會透過fin-tech及大數據分析，參與國泰世華銀行各項數位金融服務的創新開發，重新定義理想的數位金融體驗。我們希望你有不甘於現況的熱情，為數位金融出一份心力，也希望你對數位的世界有一定的熟悉程度，想像這個世界可能因為你的想法和努力可以有些許不同。你必須與產品規劃人員、技術IT等團隊成員，以敏捷式開發共同優化產品，參與使用者研究的規劃與執行，配合團隊預期的專案進度，提供以使用者為中心的介面與流程設計。

【職務說明 What will you do】
1.	執行跨數位平台的主題性專案研究，運用設計方法驗證提案與假設，協助專案成員了解用戶實際反饋確認執行方向。
2.	進行質化與量化的資料分析與驗證，協助團隊進行數據追蹤與成效追蹤。
3.	主動挖掘數位服務上待優化的痛點，提出解決方案並經過驗證，說服利害關係人執行優化開發。
4.	建立易用性測試SOP，提升團隊提案驗證的效率，並將UX觀念導入設計團隊。

【發展與培訓 Development & training】 
這是一項非常具挑戰性的工作，因此我們會進全力支援你在各工作階段的發展。從你加入的第一天起，我們將提供全方位的集團培訓計畫。首先你會得到產品知識訓練；並對於想深入了解的領域，可根據需求報名集團與知名企業合作，所提供的數位行銷、分析、使用者體驗等相關課程，形式包含定期系列講座、實戰工作坊。若這些課程無法滿足你的需求，也可自由選擇申請外部進修補助，並有機會得到全額進修補助。此外，你也能接觸不同業務部門，更深入至有興趣的專業領域工作。","【專屬於你的幸福】
1. 三節獎金(春節、中秋及端午)
2. 生日禮金
3. 員工優惠存款(行銷專員除外)
4. 年終獎金
5. 旅遊補助津貼
6. 定期教育訓練提升職場競爭力
7. 子女教育基金

【你應該擁有的幸福】
1. 勞保.健保補助
2. 團體保險及健康健檢計畫

【一起陪伴的幸福】
1. 婚喪贈助津貼
2. 急難救助金
3. 住院補助金
4. 社團活動
5. 關係企業優惠

* 以上福利僅適用於國泰世華銀行正職員工，派遣人員另有其他福利項目。",待遇面議
羅傑斯人工智能股份有限公司,人工智能CV算法工程師 (AI CV Algorithm Engineer),"
主要工作:
開發前瞻深度學習(deep learning)和機器學習圖像識別算法

任職條件: 

1. 對人工智慧算法研發有強烈熱誠與興趣。 
2. 計算機，電子工程，自動化方向相關學歷，有機器學習或深度學習研究背景。 
3. 熟悉 C++和Python編程，具有算法實現能力。 
4. 熟系CV圖像識別, 尤其在3D領域的人, 機或物的應用
5. 熟悉分散式運算、平行運算 
6. 不怕困難，有毅力獨立思考及解決問題能力。

具以下實作經驗者佳,

1. 姿態追蹤運動系統
2. 物件體積量測系統 
3. 算法模型壓縮


","1、 驚喜人生大事祝福禮
公司將每個員工視為家庭的一份子, 每位員工的人生大事, 如結婚, 生子 皆提供神秘大禮表達祝福。 
2、鼓勵生育  0~6歲公司幫忙養
入職後懷孕生子, 公司補助保母費用, 減輕員工負擔
3、競爭力薪酬獎金制度 
提供一流的薪資水準、員工分紅、股票選擇權，及各式獎金。 
4、員工保險 
除勞健保外，提供額外員工醫療團體保險。 
5、特休假制度 
優於勞基法休假天數，員工到職立即依當年度在職比例享有特休假。 女性同仁每月一天全薪生理假。 
6、多元福利活動與津貼 
不定期舉辦多元化的聚餐與團隊凝聚活動及提供用不完的飲料、茶點，給夥伴們隨時滿滿的精力。 
7、優質工作環境 
總部位於台北市中心、交通暢行無阻。 
8、 國際化職場環境 
能與國內、外AI大數據研發、行銷與管理優秀人才共事，快速提升國際視野及競爭力。



","年薪1,000,000~3,000,000元"
羅傑斯人工智能股份有限公司,嵌入式軟體工程師 (Embedded Software Engineer),"

1.負責camera system, middleware 和 SDK的開發與維護，熟悉IP Camera影像處理流程及軟體模組化設計
; 包含拍照和視訊錄影流程控制、系統最佳化、使用者介面設計、影像串流等。
2.負責對接driver層，開發各種新的camera/功能模組的驅動應用。。
3.有5年以上的IP Camera模組相關的開發經驗。
4.具多執行緒軟體開發經驗，熟悉Real Time OS 或 embedded Linux, 安卓系統。
5.熟悉相機元件者佳，如：Camera sensor, DRAM, LCD panel, HDMI, SD card等。
6.熟悉多媒體標準佳，如: JPEG, H.264, H.265…
7.有硬體/軟體協定與網路協定實作經驗者佳，如：MIPI, I2C/SPI, USB, RS232, TCP/IP, Ethernet, Wi-Fi, Blue Tooth等。
8.具分析問題、解決問題並最佳化軟體實作能力，且能融入團隊開發流程

","1、 驚喜人生大事祝福禮
公司將每個員工視為家庭的一份子, 每位員工的人生大事, 如結婚, 生子 皆提供神秘大禮表達祝福。 
2、鼓勵生育  0~6歲公司幫忙養
入職後懷孕生子, 公司補助保母費用, 減輕員工負擔
3、競爭力薪酬獎金制度 
提供一流的薪資水準、員工分紅、股票選擇權，及各式獎金。 
4、員工保險 
除勞健保外，提供額外員工醫療團體保險。 
5、特休假制度 
優於勞基法休假天數，員工到職立即依當年度在職比例享有特休假。 女性同仁每月一天全薪生理假。 
6、多元福利活動與津貼 
不定期舉辦多元化的聚餐與團隊凝聚活動及提供用不完的飲料、茶點，給夥伴們隨時滿滿的精力。 
7、優質工作環境 
總部位於台北市中心、交通暢行無阻。 
8、 國際化職場環境 
能與國內、外AI大數據研發、行銷與管理優秀人才共事，快速提升國際視野及競爭力。



","年薪1,000,000~2,000,000元"
